Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
28/09/2018,-0.011936358,0.007276822,-0.011602785,-0.018392922,0.001028585,-0.004248912,-0.003797029,0.001578123
31/10/2018,-0.06156051,-0.068040597,-0.077776709,-0.024387835,-0.025721341,0.004843849,-0.00227121,0.00168082
30/11/2018,-0.021762142,0.011500905,0.029671317,0.001695387,-0.005868644,0.002428475,0.004491152,0.001545546
31/12/2018,-0.002266159,-0.07863472,-0.025070623,0.023426843,-0.011909243,0.015033547,0.014326825,0.001522343
31/01/2019,0.038677661,0.072410204,0.071641746,0.057777216,0.017698196,0.006399791,0.009651219,0.001803045
28/02/2019,0.060084143,0.033375255,0.010968731,0.022833275,0.010788184,0.009374665,0.000684947,0.00173009
29/03/2019,0.007331288,0.016125995,0.013716017,0.059077,0.010908724,0.018215952,0.017401465,0.001653873
30/04/2019,0.02461612,0.037652765,0.025616153,-0.029449858,0.013588676,0.002843381,-1.47797E-05,0.001636823
31/05/2019,0.017456928,-0.056970553,-0.066032895,0.030704139,-0.010005586,0.01700959,0.013780777,0.001509572
28/06/2019,0.036438346,0.058960551,0.046056447,0.04631945,0.019981081,0.010404822,0.012904348,0.001324375
31/07/2019,0.029695845,0.011842712,-0.009867868,0.023963572,0.007191552,0.00949207,0.006893408,0.00119823
30/08/2019,-0.022718102,-0.01949852,-0.025294314,0.003522348,-0.001373116,0.01511812,0.022032918,0.000835895
30/09/2019,0.019079051,0.023386546,0.014704993,-0.034178534,-0.003170598,-0.004874532,-0.005554525,0.000845517
31/10/2019,-0.003790496,0.018782716,0.029958319,0.014122038,0.003424102,-0.004900048,-0.002809184,0.000807386
29/11/2019,0.03181257,0.031508941,0.005842231,0.025386731,0.00467388,0.008219615,-0.002007511,0.000822113
31/12/2019,-0.020247997,0.022750521,0.057357149,-0.038991923,0.016129552,-0.016431129,-0.002833128,0.000721953
31/01/2020,0.048875188,-0.002515738,-0.032911328,0.051489165,0.001615867,0.02327961,0.018127034,0.000815497
28/02/2020,-0.077643612,-0.080963362,-0.038349791,-0.066122634,-0.019912694,0.008596859,0.012121955,0.000753946
31/03/2020,-0.208291471,-0.128378064,-0.129611532,-0.388452151,-0.072829086,-0.002138205,-0.017201367,0.000993448
30/04/2020,0.090223149,0.105105858,0.087964418,0.159276057,0.024280294,-0.000692675,0.015025409,0.00047471
29/05/2020,0.045829281,0.047219124,0.006346593,0.025903183,0.024860236,0.002853842,0.002682094,8.90348E-05
30/06/2020,0.024328379,0.023631032,0.06627945,-0.013321905,0.011639475,0.003093998,0.004817238,7.49929E-05
